"","id","name"
"302","543376","Caleb Joseph"
"303","543685","Anthony Rendon"
"304","543877","Christian Vázquez"
"305","547180","Bryce Harper"
"306","547912","Gift Ngoepe"
"307","570481","Erik González"
"308","571437","Aaron Altherr"
"309","571718","Brian Goodwin"
"310","572073","Joey Rickard"
"311","572191","Michael Taylor"
"312","592518","Manny Machado"
"313","593528","Jorge Bonifacio"
"314","594694","Wilmer Difo"
"315","594809","Adam Eaton"
"316","595751","Jorge Alfaro"
"317","596119","Blake Swihart"
"318","600474","Pedro Severino"
"319","600524","Renato Núñez"
"320","605204","J. D. Davis"
"321","605548","Bradley Zimmer"
"322","607208","Trea Turner"
"323","607387","Ryan Rua"
"324","607430","John Andreoli"
"325","608336","Joey Gallo"
"326","608654","Johnny Field"
"327","608701","Rob Refsnyder"
"328","620446","Richard Urena"
"329","621002","Daniel Robertson"
"330","621020","Dansby Swanson"
"331","622666","Johan Camargo"
"332","623993","Anthony Santander"
"333","641487","J. P. Crawford"
"334","641598","Mitch Garver"
"335","642336","Francisco Mejía"
"336","642715","Willy Adames"
"337","642851","Austin Wynns"
"338","643376","Danny Jansen"
"339","643396","Isiah Kiner-Falefa"
"340","645277","Ozzie Albies"
"341","656555","Rhys Hoskins"
"342","656775","Cedric Mullins"
"343","660670","Ronald Acuña"
"344","664040","Brandon Lowe"
"345","400284","Chase Utley"
"346","408236","Adrián González"
"347","408314","José Reyes"
"348","430832","José Bautista"
"349","435622","Ian Desmond"
"350","444489","Manny Piña"
"351","446308","Matt Wieters"
"352","446481","Sean Rodríguez"
"353","452678","Asdrúbal Cabrera"
"354","453286","Max Scherzer"
"355","453568","Charlie Blackmon"
"356","455104","Chris Iannetta"
"357","456124","Erik Kratz"
"358","456715","Lorenzo Cain"
"359","457705","Andrew McCutchen"
"360","457706","Austin Jackson"
"361","457803","Jay Bruce"
"362","458015","Joey Votto"
"363","460026","Nick Hundley"
"364","460075","Ryan Braun"
"365","460269","Chris Gimenez"
"366","465041","Francisco Cervelli"
"367","465753","Pedro Florimón Jr."
"368","467827","Gerardo Parra"
"369","471865","Carlos González"
"370","474832","Brandon Belt"
"371","500743","Miguel Rojas"
