"","id","name"
"360",543507,"Trevor May"
"361",543508,"Cory Mazzoni"
"362",543518,"Scott McGough"
"363",543521,"Collin McHugh"
"364",543532,"Tim Melville"
"365",543548,"Tommy Milone"
"366",543557,"Mike Montgomery"
"367",543606,"Jake Odorizzi"
"368",543639,"David Peterson"
"369",543652,"Tyler Pill"
"370",543677,"Matt Ramsey"
"371",543699,"Tanner Roark"
"372",543726,"Robbie Ross"
"373",543734,"Chris Rusin"
"374",543746,"Rob Scahill"
"375",543766,"Bryan Shaw"
"376",543779,"Kevin Siegrist"
"377",543883,"Nick Vincent"
"378",543901,"Ryan Weber"
"379",543903,"Allen Webster"
"380",543935,"Alex Wilson"
"381",543944,"Austin Wright"
"382",544150,"Albert Suárez"
"383",544365,"Manny Banuelos"
"384",544727,"Jeurys Familia"
"385",544759,"Bo Schultz"
"386",544836,"Enny Romero"
"387",544928,"Tyler Lyons"
"388",544931,"Stephen Strasburg"
"389",545064,"Jairo Díaz"
"390",545332,"Jake Barrett"
"391",545333,"Trevor Bauer"
"392",545343,"Louis Head"
"393",545357,"Matt Purke"
"394",545363,"Jacob Turner"
"395",547007,"Robert Whalen"
"396",547176,"Dan Camarena"
"397",547177,"Phil Pfeifer"
"398",547179,"Michael Lorenzen"
"399",547184,"Michael Kelly"
"400",547348,"C. C. Lee"
"401",547749,"Junichi Tazawa"
"402",547888,"Masahiro Tanaka"
"403",547943,"Hyun Jin Ryu"
"404",547973,"Aroldis Chapman"
"405",548357,"Christian Bergman"
"406",548389,"Ross Stripling"
"407",552640,"Andrew Kittredge"
"408",553878,"Felipe Vázquez"
"409",553883,"Vicente Campos"
"410",553902,"Willians Astudillo"
"411",554340,"Yimi Garcia"
"412",554430,"Zack Wheeler"
"413",570145,"Ismael Gullón"
"414",570240,"Félix Peña"
"415",570240,"Félix Pucre"
"416",570257,"Joely Rodríguez"
"417",570632,"José Ureña"
"418",570632,"José Osuna"
"419",570663,"Hansel Robles"
"420",570666,"Luis Cessa"
"421",570702,"Carlos Ramirez"
"422",570714,"César Vargas"
"423",571035,"William Cuevas"
"424",571439,"R. J. Alvarez"
"425",571473,"Buddy Baumann"
"426",571474,"DJ Baxendale"
"427",571476,"Chris Beck"
"428",571510,"Matt Boyd"
